objective_2,genotype_1,step
806.18,0.6,1
1867.86,0.3,2
834.3,1.0,3
913.76,0.7,4
1461.04,0.4,5
745.74,0.9,6
2398.9,0.2,7
1103.22,0.5,8
2530.24,0.1,9
953.78,0.503946296331834,10
2878.46,0.06479296909529833,11
1008.36,0.97136904008418,12
1016.16,0.5104361668080456,13
1233.66,0.5232302639824116,14
2160.74,0.1658739894681315,15
1956.26,0.21352489669570557,16
2101.76,0.2753052249774595,17
3472.04,0.0438772726385537,18
3574.64,0.0,19
825.88,0.8956787127078372,20
1434.7,0.34038545332220516,21
670.5,0.8819491393741578,22
3574.1,0.045978341277105005,23
986.24,0.6861958645209599,24
1839.22,0.3150460613106734,25
906.68,0.8,26
769.86,0.6611344236866064,27
1830.9,0.2800199328351146,28
2837.1,0.07078510715428968,29
827.46,0.8894254133919501,30
1867.86,0.3015811899996511,31
1428.84,0.3418316311254987,32
688.78,0.9217068050815227,33
986.24,0.6878410632580059,34
791.7,0.6719903630337699,35
1499.6,0.35198321682131717,36
1175.84,0.5601219576120551,37
815.48,0.6246144051987403,38
1233.96,0.5303654254505747,39
2251.9,0.25119221312119444,40
2147.36,0.1642324670809061,41
625.08,0.9671220859422768,42
792.0,0.6077419236052017,43
2117.7,0.24221059217861507,44
1320.16,0.3627910367759547,45
625.08,0.9688555175115472,46
1140.16,0.6624240026388526,47
1233.96,0.5323905460922475,48
839.78,0.618697142523881,49
1372.04,0.3612267417824298,50
1720.78,0.3333447051793637,51
852.34,0.9089387902008615,52
817.04,0.5952080034001652,53
2183.92,0.1949333726142306,54
740.24,0.8211634156478148,55
891.72,0.8614440962993403,56
2530.5,0.16953921714577028,57
792.0,0.609098858191366,58
689.84,0.9344015704779534,59
2031.92,0.2619409351690387,60
1021.6,0.5981634187425985,61
1847.5,0.2823730781986106,62
877.44,0.5152281634078804,63
769.86,0.6593556178004125,64
857.42,0.8808469346364387,65
1461.8,0.37457381615361796,66
848.68,0.6148634386199835,67
777.94,0.788272610169112,68
1209.06,0.6840758244773253,69
1029.64,0.8857639556744953,70
2115.58,0.2684476104291469,71
915.62,0.9284614304937804,72
