objective_0,objective_1,genotype_0
-0.94,1453.16,0.31335054703117915
-0.76,625.06,0.9321521177402978
-0.88,762.3,0.638531175783398
-0.86,650.44,0.8349494944593736
-0.96,1892.46,0.2887225431739478
#-0.88,762.3,0.6367023131219016
#-0.94,1453.16,0.3122427649461435
#-0.86,650.44,0.8369746783399045
-0.9,822.72,0.48163407295447336
-0.92,1206.16,0.3677109620466447
