objective_1,genotype_1,step
-0.76,0.6,1
-0.92,0.3,2
-0.72,1.0,3
-0.84,0.7,4
-0.84,0.4,5
-0.78,0.9,6
-0.9,0.2,7
-0.9,0.5,8
-0.88,0.1,9
-0.88,0.478143264789724,10
-0.8,0.9597775859528692,11
-0.88,0.0722223358895662,12
-0.88,0.6906385029844149,13
-0.92,0.33350222662744927,14
-0.9,0.26348773151660093,15
-0.9,0.21488918221814374,16
-0.8,0.8743543629897932,17
-0.84,0.056913997263883596,18
-0.8,0.6891825641716403,19
-0.9,0.2878504129276703,20
-0.8,0.5937479206603785,21
-0.82,0.440382920414989,22
-0.84,0.08427728445512198,23
-0.92,0.33181840594701006,24
-0.86,0.5178701104502523,25
-0.78,0.9061586435349414,26
-0.9,0.16701394490844138,27
-0.88,0.06579984196632296,28
-0.92,0.3559836298615967,29
-0.92,0.3349007794003424,30
-0.9,0.3260040261556222,31
-0.8,0.8731077984724008,32
-0.8,0.9039127526445043,33
-0.92,0.3077150457087102,34
-0.94,0.31335054703117915,35
-0.84,0.6686777115206376,36
-0.8,0.9907614612242133,37
-0.76,0.9321521177402978,38
-0.84,0.6735743995994894,39
-0.8,0.9012465645173924,40
-0.86,0.39765227021910154,41
-0.82,0.5650134916418512,42
-0.78,0.9896516752943663,43
-0.86,0.33917365976441455,44
-0.84,0.8472807280778181,45
-0.72,0.9771699974332455,46
-0.88,0.638531175783398,47
-0.86,0.5098830687274556,48
-0.82,0.7159292255536762,49
-0.74,0.9787468437143814,50
-0.86,0.3175156299480161,51
-0.86,0.49775402387449874,52
-0.82,0.3379160737604131,53
-0.8,0.9093043105680112,54
-0.68,0.9530864558703304,55
-0.92,0.29469377075878356,56
-0.76,0.967038280365357,57
-0.78,0.6343660930004265,58
-0.82,0.921198324290301,59
-0.88,0.5043775096701987,60
-0.74,0.9860686840077786,61
-0.72,0.9989700818757139,62
-0.82,0.7424545462548692,63
-0.82,0.8446454384291311,64
-0.74,0.9837353186511898,65
-0.88,0.5026350692912367,66
-0.84,0.364468391306492,67
-0.9,0.2539545386662524,68
-0.86,0.3398154632158157,69
-0.78,0.9740707781088463,70
-0.74,0.9835515286116255,71
-0.8,0.5944873616689323,72
-0.68,0.9526663666726545,73
-0.86,0.8349494944593736,74
-0.84,0.2081778074674804,75
-0.9,0.3168933803877401,76
-0.84,0.34349545775589324,77
-0.8,0.5879896793536652,78
-0.74,0.9812919764275179,79
-0.76,0.9677589592313864,80
-0.88,0.36998681806498623,81
-0.76,0.8902576253630367,82
-0.82,0.8431496949038705,83
-0.82,0.33799537588465023,84
-0.74,0.9786313912443706,85
-0.76,0.8914691188988583,86
-0.84,0.9198359814820444,87
-0.84,0.5406133681143738,88
-0.86,0.4407765185957631,89
-0.9,0.2768411461156468,90
-0.96,0.2887225431739478,91
-0.86,0.8384522541912809,92
-0.84,0.2932606442923683,93
-0.84,0.508687134934994,94
-0.86,0.8414098134946013,95
-0.8,0.909902876217387,96
-0.8,0.7583488025822561,97
-0.86,0.35194554668330885,98
-0.84,0.5252273375424258,99
-0.9,0.28755423709369926,100
-0.84,0.918544615450613,101
-0.86,0.49733729104446933,102
-0.88,0.29894623487584876,103
-0.74,0.98443793563647,104
-0.86,0.3389437797163128,105
-0.8,0.8822959157054209,106
-0.9,0.2364293307344127,107
-0.8,0.9937654117187167,108
-0.74,0.9857699070401699,109
-0.88,0.6367023131219016,110
-0.84,0.9179110090877313,111
-0.9,0.2805071272909944,112
-0.86,0.32421973886428535,113
-0.84,0.7001361048064727,114
-0.84,0.49317991671590666,115
-0.92,0.2999599865623129,116
-0.94,0.3122427649461435,117
-0.84,0.8486993628315854,118
-0.78,0.9648911955230309,119
-0.86,0.305410112977308,120
-0.8,0.8812678268566086,121
-0.78,0.9863889462057072,122
-0.74,0.9818080431313261,123
-0.82,0.8427344385005441,124
-0.86,0.5194818002695948,125
-0.84,0.47128024549228653,126
-0.9,0.3064115495812846,127
-0.9,0.3267670341324273,128
-0.74,0.9794775338682055,129
-0.82,0.2596995965870511,130
-0.88,0.6612788664549999,131
-0.92,0.30146554856963553,132
-0.86,0.6469745625718435,133
-0.82,0.6541152036361353,134
-0.88,0.296707157304321,135
-0.86,0.28443268143004424,136
-0.74,0.9946632560715265,137
-0.88,0.34864069732395875,138
-0.82,0.928956928791111,139
-0.86,0.41403181915666754,140
-0.86,0.32372111028886985,141
-0.84,0.14605246174748368,142
-0.82,0.6211702837663178,143
-0.86,0.3189417155574234,144
-0.78,0.989385340899976,145
-0.9,0.31709801555184514,146
-0.88,0.29968975016770744,147
-0.9,0.23176714195714077,148
-0.84,0.9176257363872129,149
-0.86,0.4982495780915624,150
-0.76,0.9355708923228597,151
-0.92,0.22752149807617011,152
-0.82,0.5802128880976818,153
-0.92,0.26889330108889437,154
-0.74,0.9796863054922191,155
-0.84,0.22512156025607344,156
-0.86,0.25055505780582293,157
-0.92,0.3093433376324,158
-0.78,0.9652146873071024,159
-0.78,0.9045037291014104,160
-0.9,0.2767154066763939,161
-0.88,0.2965583458066521,162
-0.88,0.4224427620419392,163
-0.84,0.7686420947069397,164
-0.68,0.955022705893984,165
-0.74,0.9832812262226529,166
-0.88,0.2727135267115988,167
-0.8,0.9628369003753996,168
-0.9,0.3543323526215862,169
-0.76,0.956556621939268,170
-0.86,0.8369746783399045,171
-0.78,0.9075600155739935,172
-0.88,0.2683143659075159,173
-0.86,0.34230861680128954,174
-0.9,0.3271029537769878,175
-0.88,0.23895706490213725,176
-0.8,0.9933441277808853,177
-0.88,0.3591660436486969,178
-0.9,0.48163407295447336,179
-0.88,0.29610461616571154,180
-0.82,0.9282061465612037,181
-0.74,0.996077628357274,182
-0.92,0.3677109620466447,183
-0.88,0.2743948936432469,184
-0.78,0.9440009395248554,185
-0.86,0.24466861415656807,186
-0.84,0.668809544107174,187
-0.84,0.9184890501901849,188
-0.88,0.36942350752727116,189
