objective_0,objective_1,genotype_0
#-0.76,637.28,0.9859628304730725
-0.74,607.24,0.9974261469633884
#-0.72,595.7,0.9987641408758974
-0.86,2628.08,0.355743292103938
-0.88,2646.7,0.3169256910294692
-0.78,642.14,0.975825950584803
-0.8,1348.42,0.644419701210226
-0.84,2405.8,0.41563975804415076
