objective_2,genotype_1,step
1012.14,0.6,1
2670.14,0.3,2
657.12,1.0,3
1331.14,0.7,4
2629.94,0.4,5
1246.02,0.9,6
2751.04,0.2,7
1322.24,0.5923081995904502,8
1957.04,0.9438089780483125,9
657.78,0.9949695033872439,10
3455.94,0.1,11
3120.72,0.13449783236418292,12
2994.52,0.20620638955662987,13
1348.42,0.644419701210226,14
1329.7,0.8,15
1277.36,0.5705296450628965,16
915.5,0.8854819116864501,17
827.32,0.9878375854296773,18
1364.96,0.5756811546590043,19
2776.12,0.2248875594236678,20
3520.42,0.03181530185579275,21
2966.88,0.1922678753796422,22
637.28,0.9859628304730725,23
9830.42,0.9423837138809722,24
2965.4,0.1393692931502261,25
637.12,0.9562085882754061,26
2668.32,0.25821912172402584,27
704.32,0.971226433832961,28
1239.4,0.8872909262643682,29
866.78,0.9543995710561793,30
808.78,0.9155836165406575,31
2940.92,0.2536572137231291,32
926.84,0.9264734400776435,33
3297.4,0.193343845662087,34
731.2,0.9597652011431238,35
720.74,0.9829433574589391,36
2893.42,0.3090728894272079,37
709.64,0.965592699937776,38
3256.06,0.13939925833221636,39
672.1,0.9550472550154432,40
3123.72,0.2730688986125658,41
893.04,0.9624504724882323,42
1284.5,0.8397716143801924,43
2539.94,0.3571671244156723,44
2782.34,0.30707137363367465,45
607.24,0.9974261469633884,46
636.2,0.9829249928565306,47
2691.84,0.3016924545750824,48
802.72,0.9551729572272448,49
773.9,0.9796697079255612,50
2712.62,0.3101180297467627,51
10035.0,0.9410783297848584,52
3024.72,0.22507212105189184,53
649.14,0.9962289097727943,54
2932.28,0.2909169730836312,55
2740.32,0.35012650253560007,56
661.06,0.9809415817032413,57
595.7,0.9987641408758974,58
2628.08,0.355743292103938,59
944.6,0.8946495428637011,60
3113.92,0.1854774021136513,61
659.7,0.9795670226864915,62
2646.7,0.3169256910294692,63
644.88,0.9912443166918617,64
3173.9,0.1983031743536247,65
642.14,0.975825950584803,66
2626.7,0.2975502240997713,67
723.54,0.9810657800685373,68
3248.06,0.20147563196338406,69
2870.82,0.20906937101797968,70
3465.34,0.19552228684558473,71
2639.66,0.39522268554093687,72
642.06,0.9544017384783192,73
720.08,0.993982290854064,74
3332.66,0.20259766382702676,75
2789.44,0.24286587369470974,76
2792.9,0.3657159991260458,77
686.52,0.9908902128629075,78
1060.24,0.8692835232687603,79
3431.66,0.25811681280693005,80
2973.94,0.23031166878055537,81
2589.62,0.29373375303962296,82
698.74,0.9495054363411031,83
3196.16,0.20169849898423395,84
2278.22,0.44065007709376863,85
3129.44,0.35962769842111886,86
710.14,0.9786300376984812,87
2405.8,0.41563975804415076,88
2067.98,0.46434327809840503,89
700.98,0.9932571706759994,90
3157.42,0.19526469827287402,91
791.38,0.9514358044650513,92
680.96,0.9909715762441345,93
720.56,0.9795157988565911,94
3182.62,0.2051426868193434,95
2426.8,0.4421966397722141,96
