objective_0,objective_1,genotype_0,genotype_1
-0.74,589.38,0.3,0.6
-0.92,3539.1,0.4,0.0
#-0.92,3539.1,0.14311804783699464,0.0
-0.88,730.04,0.7,0.4
-0.84,728.4,0.2,0.4
-0.76,618.34,0.5656982689282104,0.6089337422545189
-0.8,624.46,0.882981257074474,0.6138157781447354
-0.82,645.3,0.7,0.5584057936716011
-0.92,3539.1,0.381949617366372,0.0
-0.92,3539.1,0.4278861845066298,0.0
-0.92,3539.1,0.32567270441155227,0.0
-0.92,3539.1,0.4290039018137784,0.0
-0.92,3539.1,0.2391751827031757,0.0
-0.92,3539.1,0.592880752993576,0.0
-0.92,3539.1,0.5878427186007434,0.0
-0.92,3539.1,0.2701819943036199,0.0
-0.92,3539.1,0.6,0.0
-0.92,3539.1,0.4646511425630685,0.0
-0.92,3539.1,0.6211005758408159,0.0
-0.92,3539.1,0.17230648839415091,0.0
