method,GSM8K_acc,GSM8K_len,MATH500_acc,MATH500_len,MinervaMath_acc,MinervaMath_len,OlympiadBench_acc,OlympiadBench_len,CollegeMath_acc,CollegeMath_len,AIME24_acc,AIME24_len,Avg_acc,Avg_len,Weighted_acc,Weighted_len
Qwen2.5-14B,91.7,202.4,49.6,598.4,16.5,1315.8,21.3,1310.9,12.6,1231.7,0.0,1770.0,32.0,1071.5,35.6,950.0
DeepSeek-R1-Distill-Qwen-14B,93.4,1061.1,86.2,3183.6,45.6,3806.2,53.5,5765.1,46.1,2671.1,46.7,7814.4,61.9,4050.3,61.7,2793.0
Average Merging,89.8,781.8,81.6,1692.4,39.3,965.9,44.7,3227.1,45.0,1210.7,33.3,5837.3,55.6,2285.9,58.4,1408.1
Task Arithmetic,94.5,865.8,86.8,2459.2,44.9,2593.1,49.6,5190.8,45.8,2136.8,36.7,7814.2,59.7,3510.0,61.3,2286.6
TIES-Merging,89.3,742.4,80.0,1685.4,40.1,915.5,44.9,3188.2,45.1,1232.6,26.7,7224.7,54.3,2498.1,58.2,1409.5
ACM-Average,90.7,742.2,81.8,1337.3,40.8,816.7,45.6,2218.0,47.4,937.9,26.7,4273.0,55.5,1720.8,60.0,1093.3
ACM-TA,92.6,1545.6,69.4,4374.3,30.9,4903.2,34.8,7501.5,32.0,3892.2,26.7,7965.4,47.7,5030.4,49.8,3888.5
ACM-TIES,91.2,640.6,81.6,1273.7,39.0,742.2,46.5,2145.8,47.5,899.8,26.7,5069.6,55.4,1795.3,60.2,1036.7
Mergenetic-TA-Accuracy,95.1,945.7,89.0,2663.1,43.8,3027.3,51.7,5406.2,45.7,2307.6,33.3,7570.7,59.8,3653.4,61.7,2454.8
Mergenetic-TA-Length,89.1,367.5,74.0,695.0,34.6,832.7,38.7,1120.2,45.2,699.5,13.3,1246.2,49.1,826.8,56.6,681.1
Mergenetic-TA-01-Random,93.4,306.9,81.0,1065.8,36.8,864.7,45.8,2122.7,47.5,856.9,20.0,4973.2,54.1,1698.3,60.4,920.8
Mergenetic-TA-02-Random,89.6,369.1,75.6,826.4,35.7,930.4,38.8,1541.9,45.9,779.9,13.3,2364.9,49.8,1135.4,57.3,794.9
Mergenetic-TA-03-Random,91.6,254.0,76.4,674.2,37.1,809.8,37.8,1084.9,46.1,702.0,10.0,1287.9,49.8,802.1,57.9,648.6
Mergenetic-TA-04-Random,93.9,797.0,86.2,2270.4,44.1,2526.9,46.5,5128.4,46.0,1994.0,30.0,8209.0,57.8,3487.6,60.7,2173.3
Mergenetic-TA-05-Random,94.4,1082.1,87.6,2842.0,45.6,3414.6,52.1,5519.1,46.1,2426.3,60.0,7095.1,64.3,3729.8,61.9,2592.2
Mergenetic-TA-01-Entropy,89.8,327.6,74.6,643.1,33.1,942.6,38.4,1156.9,45.6,694.4,13.3,1122.0,49.1,814.4,56.9,673.6
Mergenetic-TA-02-Entropy,94.8,763.6,85.4,2272.6,43.4,2429.9,49.9,5051.1,46.4,1965.9,26.7,7589.9,57.8,3345.5,61.4,2134.2
Mergenetic-TA-03-Entropy,94.3,858.5,86.4,2429.8,43.8,2742.5,49.8,5318.2,45.8,2129.9,33.3,7797.2,58.9,3546.0,61.1,2301.2
Mergenetic-TA-04-Entropy,91.5,245.2,77.2,680.2,37.9,815.2,37.3,1053.8,46.1,696.0,20.0,1299.9,51.7,798.4,57.9,640.7
Mergenetic-TA-05-Entropy,94.2,273.9,83.0,1008.8,40.4,700.8,47.0,1885.5,47.7,840.0,16.7,4090.9,54.8,1466.6,61.2,858.4
Mergenetic-TA-06-Entropy,93.3,593.4,83.8,1958.2,40.4,1957.3,45.9,4871.0,46.4,1700.6,26.7,7301.5,56.1,3063.7,60.3,1887.0
