objective_1,genotype_1,step
832.9,0.8262102443111612,134
1096.02,0.9711473986897297,135
1135.4,0.8147113184322867,136
843.2,0.8434784616619252,137
1082.48,0.6582006539919353,138
926.06,0.9896615776151458,139
1044.32,0.770438406101922,140
1614.0,0.7260123730540307,141
1062.96,0.8616188813479774,142
1293.2,0.915613618487706,143
1016.44,0.8928248078431575,144
1202.84,0.9784367585991383,145
910.98,0.9336575433861254,146
917.86,0.8518625721857722,147
1050.9,0.9387053919332482,148
990.22,0.7813393133665153,149
1045.3,0.8400438949763231,150
999.82,0.8846107530758524,151
749.3,0.9828515606556163,152
1036.82,0.8719662825110653,153
749.3,0.9847827363373952,154
905.0,0.9412620818970086,155
739.94,0.9511998390737124,156
1050.9,0.9357232072832614,157
936.24,0.765412976555462,158
1037.2,0.8233114712454483,159
983.22,0.6596991933733088,160
721.36,0.9952954701067007,161
872.76,0.7613257972570608,162
677.02,0.8306527405409037,163
1271.3,0.6113577375109098,164
931.9,0.9476899686805593,165
937.88,0.718572484013458,166
898.12,0.8349409202098496,167
1330.18,0.8602631634635411,168
728.0,0.9689710416687518,169
931.9,0.9492709377583838,170
926.06,0.9871945158220186,171
917.86,0.8522419265495458,172
1293.2,0.9142363530010942,173
1221.14,0.85718506046342,174
1202.84,0.9748067057499391,175
630.78,0.9797319311431213,176
788.28,0.9087162302437264,177
843.2,0.8420370267348888,178
986.74,0.6696063189606887,179
1139.32,0.6630376477153126,180
1402.66,0.7470808111405965,181
966.6,0.8081687266859976,182
926.06,0.9893177475609833,183
1073.6,0.7044366581476684,184
739.94,0.9536374057578341,185
780.58,0.7941975147042629,186
1189.58,0.7973902603747007,187
1256.6,0.7488273027997048,188
1237.1,0.8005349304279372,189
