objective_0,objective_1,genotype_0
-0.88,874.34,0.6
#-0.74,585.86,0.9976021648574374
-0.78,686.78,0.9225840794834396
-0.76,595.92,0.980792709486083
#-0.72,570.02,0.9940585297770687
-0.92,1732.22,0.353732691166314
-0.96,2303.6,0.16195273573731123
