objective_0,objective_1,genotype_0
-0.76,815.56,0.6445807068956402
-0.84,1061.28,0.381949617366372
#-0.84,1061.28,0.38305493773802446
#-0.76,815.56,0.6428424156457032
-0.72,571.04,0.9957905196183793
-0.82,921.36,0.4883776012201711
-0.8,880.68,0.4378146301800383
